RADICADO,FECHA 1,HORA,DÍA DE LA SEMANA,CLASE,DIRECCIÓN,GRAVEDAD,BARRIO,DISEÑO
2897,2004-11-22,5:32:00,LUNES,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,TRAMO DE VIA
2898,2004-11-10,6:40:00,MIERCOLES,CHOQUE,SIN INFORMACION,DAÑOS,CENTRO,INTERSECCION
2899,2004-11-29,10:10:00,LUNES,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,LOTE O PREDIO
2900,2004-11-27,2:45:00,SABADO,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,TRAMO DE VIA
2901,2004-11-28,12:01:00,DOMINGO,ATROPELLO,SIN INFORMACION,HERIDOS,DESCONOCIDO,TRAMO DE VIA
2902,2004-11-11,3:20:00,JUEVES,CHOQUE,SIN INFORMACION,DAÑOS,LA MIEL,INTERSECCION
2903,2004-11-22,9:40:00,LUNES,CHOQUE,SIN INFORMACION,HERIDOS,DESCONOCIDO,TRAMO DE VIA
2904,2004-11-11,10:00:00,JUEVES,VOLCAMIENTO,SIN INFORMACION,HERIDOS,ANDALUCIA,SIN INFORMACION
2905,2004-11-23,2:00:00,MARTES,VOLCAMIENTO,SIN INFORMACION,HERIDOS,DESCONOCIDO,TRAMO DE VIA
2906,2004-11-12,8:10:00,VIERNES,CHOQUE,SIN INFORMACION,HERIDOS,CENTRO,INTERSECCION
2907,2004-11-30,5:30:00,MARTES,VOLCAMIENTO,SIN INFORMACION,HERIDOS,PRIMAVERA,SIN INFORMACION
2908,2004-11-24,7:00:00,MIERCOLES,CHOQUE,SIN INFORMACION,HERIDOS,DESCONOCIDO,INTERSECCION
2909,2004-11-13,12:00:00,SABADO,CHOQUE,SIN INFORMACION,DAÑOS,CENTRO,TRAMO DE VIA
2910,2004-11-01,7:00:00,LUNES,CHOQUE,SIN INFORMACION,DAÑOS,LA VARIANTE,TRAMO DE VIA
2911,2004-11-26,8:00:00,VIERNES,VOLCAMIENTO,SIN INFORMACION,HERIDOS,DESCONOCIDO,INTERSECCION
2912,2004-11-14,2:30:00,DOMINGO,VOLCAMIENTO,SIN INFORMACION,HERIDOS,LA VARIANTE,SIN INFORMACION
2913,2004-11-02,5:00:00,MARTES,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,TRAMO DE VIA
2914,2004-11-15,5:00:00,LUNES,CHOQUE,SIN INFORMACION,DAÑOS,LA VARIANTE,LOTE O PREDIO
2915,2004-11-03,9:10:00,MIERCOLES,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,INTERSECCION
2916,2004-11-14,10:40:00,DOMINGO,VOLCAMIENTO,SIN INFORMACION,HERIDOS,CENTRO,LOTE O PREDIO
2917,2004-11-07,5:00:00,DOMINGO,CHOQUE,SIN INFORMACION,DAÑOS,DESCONOCIDO,TRAMO DE VIA
